Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1043397,201,10045,117 STREET NW,N,1150,OLIVER,O-day'min Ward,111000,53.540051481661735,-113.52261283073618,POINT (-113.52261283073618 53.540051481661735),100,,,RESIDENTIAL,,
1292341,203,17111,63 AVENUE NW,N,4080,CALLINGWOOD SOUTH,sipiwiyiniwak Ward,114500,53.498984120984986,-113.61930247333459,POINT (-113.61930247333459 53.498984120984986),100,,,RESIDENTIAL,,
1308048,110,2908,116A AVENUE NW,N,2660,RUNDLE HEIGHTS,Métis Ward,76500,53.56948140863039,-113.38808091818993,POINT (-113.38808091818993 53.56948140863039),100,,,RESIDENTIAL,,
1197425,43,7604,29 AVENUE NW,N,6340,KAMEYOSEK,Karhiio Ward,153000,53.46092193427104,-113.44706203350451,POINT (-113.44706203350451 53.46092193427104),100,,,RESIDENTIAL,,
1018449,,11810,141 AVENUE NW,N,3090,CARLISLE,Anirniq Ward,3293500,53.60421904998291,-113.52633467570122,POINT (-113.52633467570122 53.60421904998291),100,,,COMMERCIAL,,
1241025,,9313,166 STREET NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,361000,53.530213655720296,-113.6083060212514,POINT (-113.6083060212514 53.530213655720296),100,,,RESIDENTIAL,,
1101484,,18939,9 STREET NE,Y,2671,MARQUIS,Dene Ward,658500,53.6517430243568,-113.33053866454995,POINT (-113.33053866454995 53.6517430243568),100,,,RESIDENTIAL,,
1208206,,16026,93 AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,344000,53.52856152082561,-113.59941649308924,POINT (-113.59941649308924 53.52856152082561),100,,,RESIDENTIAL,,
1297258,611,12841,65 STREET NW,N,2080,BELVEDERE,Dene Ward,61000,53.58718248293548,-113.4408550973522,POINT (-113.4408550973522 53.58718248293548),100,,,RESIDENTIAL,,
1014372,,10439,14 AVENUE NW,Y,5030,BEARSPAW,Ipiihkoohkanipiaohtsi Ward,402500,53.44450761796563,-113.49634097855414,POINT (-113.49634097855414 53.44450761796563),100,,,RESIDENTIAL,,
1302363,,9532,150 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,248500,53.53250104695907,-113.58027937497317,POINT (-113.58027937497317 53.53250104695907),100,,,RESIDENTIAL,,
1158229,,8017,162 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,358000,53.51491823291712,-113.6007065800641,POINT (-113.6007065800641 53.51491823291712),100,,,RESIDENTIAL,,
1168871,,8108,168 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,306000,53.51566861938287,-113.61148298894902,POINT (-113.61148298894902 53.51566861938287),100,,,RESIDENTIAL,,
1284777,902,9816,112 STREET NW,N,1150,OLIVER,O-day'min Ward,96000,53.53612037305204,-113.51449232375236,POINT (-113.51449232375236 53.53612037305204),100,,,RESIDENTIAL,,
1303718,,9718,150 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,353000,53.53518975639776,-113.58027418764915,POINT (-113.58027418764915 53.53518975639776),100,,,RESIDENTIAL,,
1328368,101,1415,LAKEWOOD ROAD WEST NW,N,6750,TIPASKAN,Karhiio Ward,78000,53.459615025790406,-113.46047676059418,POINT (-113.46047676059418 53.459615025790406),100,,,RESIDENTIAL,,
1130731,,7316,188 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,327000,53.50759426240843,-113.64907798487422,POINT (-113.64907798487422 53.50759426240843),100,,,RESIDENTIAL,,
1284231,303,9816,112 STREET NW,N,1150,OLIVER,O-day'min Ward,198500,53.53612037305204,-113.51449232375236,POINT (-113.51449232375236 53.53612037305204),100,,,RESIDENTIAL,,
1073154,,6412,18 STREET NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,2076000,53.50102436373526,-113.3726753874856,POINT (-113.3726753874856 53.50102436373526),100,,,COMMERCIAL,,
1085604,1505,12121,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,117500,53.540771906982826,-113.5321360279101,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1057728,,28,KINISKI CRESCENT NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,322000,53.47896375726353,-113.4001198612715,POINT (-113.4001198612715 53.47896375726353),100,,,RESIDENTIAL,,
1159078,1,14511,52 STREET NW,N,2130,CASSELMAN,Dene Ward,173000,53.60752846113511,-113.4187999843079,POINT (-113.4187999843079 53.60752846113511),100,,,RESIDENTIAL,,
1015007,,296,WESTRIDGE ROAD NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,504000,53.50820369099497,-113.60807734897816,POINT (-113.60807734897816 53.50820369099497),100,,,RESIDENTIAL,,
1043843,706,10045,117 STREET NW,N,1150,OLIVER,O-day'min Ward,153500,53.540051481661735,-113.52261283073618,POINT (-113.52261283073618 53.540051481661735),100,,,RESIDENTIAL,,
1126168,,215,LYNNWOOD WAY NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,495500,53.514066583944334,-113.58151991382002,POINT (-113.58151991382002 53.514066583944334),100,,,RESIDENTIAL,,
1355262,303,2604,139 AVENUE NW,N,2030,BANNERMAN,Dene Ward,69000,53.60308934454517,-113.38287756965815,POINT (-113.38287756965815 53.60308934454517),100,,,RESIDENTIAL,,
1179506,,,,N,5480,STRATHCONA,papastew Ward,7000,53.5241732479624,-113.4926579174034,POINT (-113.4926579174034 53.5241732479624),100,,,RESIDENTIAL,,
1331909,,9831,167 STREET NW,Y,4180,GLENWOOD,Nakota Isga Ward,334500,53.536970740803675,-113.60957875869977,POINT (-113.60957875869977 53.536970740803675),100,,,RESIDENTIAL,,
1239185,,16505,92A AVENUE NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,344000,53.52788322253425,-113.6081943604654,POINT (-113.6081943604654 53.52788322253425),100,,,RESIDENTIAL,,
1058940,,323,KIRKPATRICK CRESCENT NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,283000,53.48113552548649,-113.40121293100027,POINT (-113.40121293100027 53.48113552548649),100,,,RESIDENTIAL,,
1111194,,15309,75 AVENUE NW,Y,4430,RIO TERRACE,sipiwiyiniwak Ward,665500,53.50722134924621,-113.58481965343361,POINT (-113.58481965343361 53.50722134924621),100,,,RESIDENTIAL,,
1151323,,16109,86 AVENUE NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,310000,53.518334119409616,-113.6008238988935,POINT (-113.6008238988935 53.518334119409616),100,,,RESIDENTIAL,,
1049733,,3608,146 AVENUE NW,N,2430,KIRKNESS,Dene Ward,273500,53.60870351727127,-113.39628608172981,POINT (-113.39628608172981 53.60870351727127),100,,,RESIDENTIAL,,
1209063,,7207,183A STREET NW,N,4270,LYMBURN,sipiwiyiniwak Ward,276500,53.50615548317161,-113.63815966321552,POINT (-113.63815966321552 53.50615548317161),100,,,RESIDENTIAL,,
1262583,304,14816,26 STREET NW,N,2280,FRASER,Dene Ward,52000,53.61197346411985,-113.37948128519791,POINT (-113.37948128519791 53.61197346411985),100,,,RESIDENTIAL,,
1052083,,4311,35 STREET NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,273000,53.48245030102509,-113.39433046677887,POINT (-113.39433046677887 53.48245030102509),100,,,RESIDENTIAL,,
1335140,,16703,98 AVENUE NW,Y,4180,GLENWOOD,Nakota Isga Ward,321000,53.535585547682906,-113.61058410644712,POINT (-113.61058410644712 53.535585547682906),100,,,RESIDENTIAL,,
1299791,,16804,95 STREET NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,322500,53.630457890772455,-113.48796082480031,POINT (-113.48796082480031 53.630457890772455),100,,,RESIDENTIAL,,
1222892,,16810,88 AVENUE NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,339500,53.523900481422785,-113.61296818085448,POINT (-113.61296818085448 53.523900481422785),100,,,RESIDENTIAL,,
1284603,,9906,153 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,391500,53.538020333089335,-113.58553561849774,POINT (-113.58553561849774 53.538020333089335),100,,,RESIDENTIAL,,
1194471,,15607,83 STREET NW,N,2050,BELLE RIVE,tastawiyiniwak Ward,272000,53.616593444946524,-113.46797444696494,POINT (-113.46797444696494 53.616593444946524),100,,,RESIDENTIAL,,
1008648,,8718,152B AVENUE NW,Y,2260,EVANSDALE,tastawiyiniwak Ward,538000,53.615244673056004,-113.4758773098063,POINT (-113.4758773098063 53.615244673056004),100,,,RESIDENTIAL,,
1012087,,331,WESTRIDGE ROAD NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,661000,53.5085219909243,-113.60421939393281,POINT (-113.60421939393281 53.5085219909243),100,,,RESIDENTIAL,,
1055110,,3509,41 AVENUE NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,299000,53.47594022334107,-113.39485494082668,POINT (-113.39485494082668 53.47594022334107),100,,,RESIDENTIAL,,
1016278,,1416,104 STREET NW,Y,5030,BEARSPAW,Ipiihkoohkanipiaohtsi Ward,432000,53.445277643158626,-113.49465485316207,POINT (-113.49465485316207 53.445277643158626),100,,,RESIDENTIAL,,
1007624,,8319,152B AVENUE NW,Y,2260,EVANSDALE,tastawiyiniwak Ward,369000,53.61427708487174,-113.46921201084713,POINT (-113.46921201084713 53.61427708487174),100,,,RESIDENTIAL,,
1157254,408,9810,178 STREET NW,N,4240,LA PERLE,Nakota Isga Ward,96000,53.53394321016487,-113.62989686412874,POINT (-113.62989686412874 53.53394321016487),100,,,RESIDENTIAL,,
1309459,B,2908,116A AVENUE NW,N,2660,RUNDLE HEIGHTS,Métis Ward,72000,53.56948140863039,-113.38808091818993,POINT (-113.38808091818993 53.56948140863039),100,,,RESIDENTIAL,,
1101344,,721,195 AVENUE NE,Y,2671,MARQUIS,Dene Ward,799000,53.65640029057629,-113.33497198218313,POINT (-113.33497198218313 53.65640029057629),100,,,RESIDENTIAL,,
1251065,,8746,155 STREET NW,N,4230,JASPER PARK,sipiwiyiniwak Ward,276500,53.52084279619353,-113.58906827719646,POINT (-113.58906827719646 53.52084279619353),100,,,COMMERCIAL,,
1094762,,228,HEAGLE CRESCENT NW,Y,5230,HENDERSON ESTATES,pihêsiwin Ward,536500,53.4626508964426,-113.5969541897683,POINT (-113.5969541897683 53.4626508964426),100,,,RESIDENTIAL,,
1229616,,16406,89 AVENUE NW,N,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,259500,53.52399334490649,-113.60460274051525,POINT (-113.60460274051525 53.52399334490649),100,,,RESIDENTIAL,,
1296029,36,10205,158 AVENUE NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,172500,53.61879817678316,-113.5000048591404,POINT (-113.5000048591404 53.61879817678316),100,,,RESIDENTIAL,,
1241934,,2930,36 STREET NW,N,6030,BISSET,Sspomitapi Ward,170500,53.460160008764255,-113.39657123542104,POINT (-113.39657123542104 53.460160008764255),100,,,RESIDENTIAL,,
1074194,,6619,8 STREET NW,Y,6420,MAPLE RIDGE INDUSTRIAL,Sspomitapi Ward,1515500,53.50348441568015,-113.35281614443026,POINT (-113.35281614443026 53.50348441568015),100,,,COMMERCIAL,,
1085620,1507,12121,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,119000,53.540771906982826,-113.5321360279101,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1144559,,8110,158 STREET NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,329500,53.51603212230452,-113.59558725392158,POINT (-113.59558725392158 53.51603212230452),100,,,RESIDENTIAL,,
1110295,,7303,156 STREET NW,Y,4430,RIO TERRACE,sipiwiyiniwak Ward,639500,53.50472491733366,-113.58973155359782,POINT (-113.58973155359782 53.50472491733366),100,,,RESIDENTIAL,,
1038843,,17012,103 STREET NW,N,3030,BATURYN,tastawiyiniwak Ward,177000,53.63293908984427,-113.50158087257476,POINT (-113.50158087257476 53.63293908984427),100,,,RESIDENTIAL,,
1102896,,21850,FORT ROAD NE,Y,2670,RURAL NORTH EAST HORSE HILL,Dene Ward,597000,53.67874122033167,-113.32706723767966,POINT (-113.32706723767966 53.67874122033167),100,,,RESIDENTIAL,,
1048883,,6712,152B AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,335500,53.614745295443726,-113.4441771822718,POINT (-113.4441771822718 53.614745295443726),100,,,RESIDENTIAL,,
1113752,,22910,STONY PLAIN ROAD NW,N,4670,WINTERBURN INDUSTRIAL AREA WEST,Nakota Isga Ward,47500,53.54507484521692,-113.70735239930586,POINT (-113.70735239930586 53.54507484521692),100,,,FARMLAND,,
1294982,406,12225,STONY PLAIN ROAD NW,N,1150,OLIVER,O-day'min Ward,113000,53.54632952208474,-113.53362754335504,POINT (-113.53362754335504 53.54632952208474),100,,,RESIDENTIAL,,
1301738,,9430,150 STREET NW,N,4500,SHERWOOD,sipiwiyiniwak Ward,264500,53.53095151237451,-113.58028245576364,POINT (-113.58028245576364 53.53095151237451),100,,,RESIDENTIAL,,
1136902,,15407,80 AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,388500,53.513363132961196,-113.58856254619465,POINT (-113.58856254619465 53.513363132961196),100,,,RESIDENTIAL,,
1255579,,64,HUNTINGTON HILL NW,N,5170,EMPIRE PARK,papastew Ward,145500,53.48548453282371,-113.49769898515218,POINT (-113.49769898515218 53.48548453282371),100,,,RESIDENTIAL,,
1192913,,10215,KINGSWAY NW,N,1030,CENTRAL MCDOUGALL,O-day'min Ward,90000,53.55507228922429,-113.49808274847989,POINT (-113.49808274847989 53.55507228922429),100,,,COMMERCIAL,,
1176452,301,10135,SASKATCHEWAN DRIVE NW,N,5480,STRATHCONA,papastew Ward,208500,53.5241732479624,-113.4926579174034,POINT (-113.4926579174034 53.5241732479624),100,,,RESIDENTIAL,,
1270685,,8739,151 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,648000,53.52084177888369,-113.58106054444998,POINT (-113.58106054444998 53.52084177888369),100,,,RESIDENTIAL,,
1274950,204,9607,156 STREET NW,N,4580,WEST JASPER PLACE,Nakota Isga Ward,93000,53.53344290565583,-113.58980395967004,POINT (-113.58980395967004 53.53344290565583),100,,,RESIDENTIAL,,
1205806,,16957,95 STREET NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,199000,53.631356208992415,-113.48785798312106,POINT (-113.48785798312106 53.631356208992415),100,,,RESIDENTIAL,,
1031038,,3331,138 AVENUE NW,N,2320,HAIRSINE,Dene Ward,160000,53.60004586685922,-113.39262285310896,POINT (-113.39262285310896 53.60004586685922),100,,,RESIDENTIAL,,
1288505,,9215,154 STREET NW,Y,4500,SHERWOOD,sipiwiyiniwak Ward,581500,53.52726730162014,-113.58632663059883,POINT (-113.58632663059883 53.52726730162014),100,,,RESIDENTIAL,,
1223296,,1925,SADDLEBACK ROAD NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,167000,53.449810612380354,-113.52068076716473,POINT (-113.52068076716473 53.449810612380354),100,,,RESIDENTIAL,,
1129717,,7719,188 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,371500,53.510991795113505,-113.64688156607153,POINT (-113.64688156607153 53.510991795113505),100,,,RESIDENTIAL,,
1014844,,32,WESTRIDGE ROAD NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,492000,53.507948252807466,-113.60922585718546,POINT (-113.60922585718546 53.507948252807466),100,,,RESIDENTIAL,,
1208859,,7204,183A STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,287000,53.50613003838116,-113.63885669533228,POINT (-113.63885669533228 53.50613003838116),100,,,RESIDENTIAL,,
1314152,,9631,159 STREET NW,Y,4180,GLENWOOD,Nakota Isga Ward,238500,53.5340742622071,-113.59509166081612,POINT (-113.59509166081612 53.5340742622071),100,,,RESIDENTIAL,,
1030410,3,10160,119 STREET NW,N,1150,OLIVER,O-day'min Ward,182000,53.54226423602291,-113.5273471571312,POINT (-113.5273471571312 53.54226423602291),100,,,RESIDENTIAL,,
1234160,807,10149,SASKATCHEWAN DRIVE NW,N,5480,STRATHCONA,papastew Ward,177000,53.52349868842615,-113.4938707529589,POINT (-113.4938707529589 53.52349868842615),100,,,RESIDENTIAL,,
1222231,,9103,169 STREET NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,327000,53.5263326527098,-113.61357312621482,POINT (-113.61357312621482 53.5263326527098),100,,,RESIDENTIAL,,
1215912,36,1503,MILL WOODS ROAD EAST NW,N,6140,CRAWFORD PLAINS,Sspomitapi Ward,130000,53.44341912235957,-113.40261040440224,POINT (-113.40261040440224 53.44341912235957),100,,,RESIDENTIAL,,
1162213,,18920,86 AVENUE NW,Y,4020,ALDERGROVE,Nakota Isga Ward,380500,53.520150895775785,-113.65005010259844,POINT (-113.65005010259844 53.520150895775785),100,,,RESIDENTIAL,,
1050814,,14836,35 STREET NW,N,2430,KIRKNESS,Dene Ward,248500,53.61173814179231,-113.39437957993205,POINT (-113.39437957993205 53.61173814179231),100,,,RESIDENTIAL,,
1092022,,55,PATRICIA CRESCENT NW,Y,4390,PATRICIA HEIGHTS,sipiwiyiniwak Ward,1481500,53.51028718665618,-113.60904249995457,POINT (-113.60904249995457 53.51028718665618),100,,,RESIDENTIAL,,
1309087,,9515,150 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,346000,53.53208979660255,-113.57929602835586,POINT (-113.57929602835586 53.53208979660255),100,,,RESIDENTIAL,,
1295872,21,10205,158 AVENUE NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,171000,53.61879817678316,-113.5000048591404,POINT (-113.5000048591404 53.61879817678316),100,,,RESIDENTIAL,,
1194968,,8405,156 AVENUE NW,N,2050,BELLE RIVE,tastawiyiniwak Ward,322000,53.61629048043002,-113.47207635871922,POINT (-113.47207635871922 53.61629048043002),100,,,RESIDENTIAL,,
1198779,,18710,57 AVENUE NW,N,4220,JAMIESON PLACE,sipiwiyiniwak Ward,315000,53.49348374260429,-113.64707018555617,POINT (-113.64707018555617 53.49348374260429),100,,,RESIDENTIAL,,
1191667,,9355,175 AVENUE NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,328500,53.63736655144387,-113.48672966151184,POINT (-113.48672966151184 53.63736655144387),100,,,RESIDENTIAL,,
1329382,313,9816,156 STREET NW,N,4180,GLENWOOD,Nakota Isga Ward,70500,53.5366931094185,-113.59085100674228,POINT (-113.59085100674228 53.5366931094185),100,,,RESIDENTIAL,,
1065085,,,,N,5200,GARNEAU,papastew Ward,5500,53.51584446927477,-113.51864046956135,POINT (-113.51864046956135 53.51584446927477),100,,,RESIDENTIAL,,
1095231,,162,HEALY ROAD NW,Y,5230,HENDERSON ESTATES,pihêsiwin Ward,588000,53.46489789599473,-113.59701432615273,POINT (-113.59701432615273 53.46489789599473),100,,,RESIDENTIAL,,
1258888,,172,CENTENNIAL COURT NW,N,4060,BRITANNIA YOUNGSTOWN,Nakota Isga Ward,155000,53.54767180705669,-113.61051384692745,POINT (-113.61051384692745 53.54767180705669),100,,,RESIDENTIAL,,
1286467,,9610,153 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,273500,53.533521629882095,-113.58554363885636,POINT (-113.58554363885636 53.533521629882095),100,,,RESIDENTIAL,,
1020650,,138,WOLF WILLOW CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,538500,53.502409306173575,-113.59684991614773,POINT (-113.59684991614773 53.502409306173575),100,,,RESIDENTIAL,,
1053768,,3521,41B AVENUE NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,256500,53.47774682454953,-113.39555380589341,POINT (-113.39555380589341 53.47774682454953),100,,,RESIDENTIAL,,
1224831,,10803,21 AVENUE NW,Y,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,345500,53.4518386046536,-113.50468803534345,POINT (-113.50468803534345 53.4518386046536),100,,,RESIDENTIAL,,
1117233,,156,WOODBEND WYND NW,Y,4464,THE UPLANDS,sipiwiyiniwak Ward,1026500,53.46792619828507,-113.65419505001124,POINT (-113.65419505001124 53.46792619828507),100,,,RESIDENTIAL,,
1129162,,15223,83 AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,418500,53.51569327868954,-113.58405268208989,POINT (-113.58405268208989 53.51569327868954),100,,,RESIDENTIAL,,
1153303,,16106,83 AVENUE NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,353000,53.51712611074898,-113.60036774366407,POINT (-113.60036774366407 53.51712611074898),100,,,RESIDENTIAL,,
1289131,,15220,92 AVENUE NW,N,4500,SHERWOOD,sipiwiyiniwak Ward,277500,53.526966643568606,-113.5842920053444,POINT (-113.5842920053444 53.526966643568606),100,,,RESIDENTIAL,,
1151554,,3301,137 AVENUE NW,N,2251,EBBERS,Dene Ward,22000,53.61368951603656,-113.39324404827455,POINT (-113.39324404827455 53.61368951603656),100,,,COMMERCIAL,,
1293810,,15204,100 AVENUE NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,498000,53.539431422326125,-113.58377717942018,POINT (-113.58377717942018 53.539431422326125),100,,,RESIDENTIAL,,
1316751,,,,N,1150,OLIVER,O-day'min Ward,8000,53.540144793026066,-113.52725484458843,POINT (-113.52725484458843 53.540144793026066),100,,,RESIDENTIAL,,
1173285,,17441,92 AVENUE NW,N,4520,SUMMERLEA,sipiwiyiniwak Ward,203000,53.526961387626166,-113.62135154104847,POINT (-113.62135154104847 53.526961387626166),100,,,RESIDENTIAL,,
1183433,,15700,91 AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,354500,53.52606957399887,-113.59181430852517,POINT (-113.59181430852517 53.52606957399887),100,,,RESIDENTIAL,,
1176221,,8337,165 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,539500,53.518767178577896,-113.60644360253195,POINT (-113.60644360253195 53.518767178577896),100,,,RESIDENTIAL,,
1053438,,3510,42 AVENUE NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,267500,53.47906334471407,-113.39472051255493,POINT (-113.39472051255493 53.47906334471407),100,,,RESIDENTIAL,,
1087196,,10415,158 AVENUE NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,3564500,53.61870585315171,-113.50197458832318,POINT (-113.50197458832318 53.61870585315171),100,,,COMMERCIAL,,
1209212,,9301,163 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,337500,53.528530230477486,-113.60225857925579,POINT (-113.60225857925579 53.528530230477486),100,,,RESIDENTIAL,,
1042423,,,,N,5340,RAMSAY HEIGHTS,pihêsiwin Ward,5500,53.48391462034924,-113.57703133208653,POINT (-113.57703133208653 53.48391462034924),100,,,RESIDENTIAL,,
1163971,,18919,83 AVENUE NW,Y,4020,ALDERGROVE,Nakota Isga Ward,409000,53.51652635165898,-113.65108137037532,POINT (-113.65108137037532 53.51652635165898),100,,,RESIDENTIAL,,
1078567,,7912,152C AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,371500,53.615577729819606,-113.46518726004467,POINT (-113.46518726004467 53.615577729819606),100,,,RESIDENTIAL,,
1353515,205,10511,19 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,110000,53.447659200085596,-113.50190409199921,POINT (-113.50190409199921 53.447659200085596),100,,,RESIDENTIAL,,
1078781,,7708,152B AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,352000,53.6147529949435,-113.46214026973381,POINT (-113.46214026973381 53.6147529949435),100,,,RESIDENTIAL,,
1040260,,2114,52 STREET NW,N,6460,MEYOKUMIN,Karhiio Ward,308000,53.45252454409645,-113.42167875476399,POINT (-113.42167875476399 53.45252454409645),100,,,RESIDENTIAL,,
1085943,401,12141,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,100000,53.540771906982826,-113.5321360279101,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1195817,,8718,160A STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,335000,53.52202350718561,-113.59908971851102,POINT (-113.59908971851102 53.52202350718561),100,,,RESIDENTIAL,,
1010925,,143,WESTRIDGE ROAD NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,413500,53.50902878020479,-113.61442484061347,POINT (-113.61442484061347 53.50902878020479),100,,,RESIDENTIAL,,
1105311,,7608,152 STREET NW,Y,4430,RIO TERRACE,sipiwiyiniwak Ward,526000,53.509260436901634,-113.58366911478076,POINT (-113.58366911478076 53.509260436901634),100,,,RESIDENTIAL,,
1030519,13,10160,119 STREET NW,N,1150,OLIVER,O-day'min Ward,154000,53.54226423602291,-113.5273471571312,POINT (-113.5273471571312 53.54226423602291),100,,,RESIDENTIAL,,
1039205,,10345,172 AVENUE NW,N,3030,BATURYN,tastawiyiniwak Ward,171000,53.63293908984427,-113.50158087257476,POINT (-113.50158087257476 53.63293908984427),100,,,RESIDENTIAL,,
1088079,,7816,156 STREET NW,Y,4390,PATRICIA HEIGHTS,sipiwiyiniwak Ward,472000,53.51123916530529,-113.59081427981141,POINT (-113.59081427981141 53.51123916530529),100,,,RESIDENTIAL,,
1038447,401,8310,JASPER AVENUE NW,N,1070,CROMDALE,Métis Ward,97000,53.55628818315935,-113.46957199212594,POINT (-113.46957199212594 53.55628818315935),100,,,RESIDENTIAL,,
1338664,,16824,96 AVENUE NW,Y,4180,GLENWOOD,Nakota Isga Ward,365000,53.53425656959874,-113.61285246324863,POINT (-113.61285246324863 53.53425656959874),100,,,RESIDENTIAL,,
1039015,,10307,172 AVENUE NW,N,3030,BATURYN,tastawiyiniwak Ward,159500,53.63293908984427,-113.50158087257476,POINT (-113.50158087257476 53.63293908984427),100,,,RESIDENTIAL,,
1297407,701,12841,65 STREET NW,N,2080,BELVEDERE,Dene Ward,51000,53.58718248293548,-113.4408550973522,POINT (-113.4408550973522 53.58718248293548),100,,,RESIDENTIAL,,
1203512,207,2628,MILL WOODS ROAD EAST NW,N,6770,WEINLOS,Sspomitapi Ward,69000,53.45885364204667,-113.40821799717817,POINT (-113.40821799717817 53.45885364204667),100,,,RESIDENTIAL,,
1054980,,4115,35 STREET NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,277000,53.47661408470406,-113.39432177177943,POINT (-113.39432177177943 53.47661408470406),100,,,RESIDENTIAL,,
1154996,3,3221,119 STREET NW,N,5490,SWEET GRASS,Ipiihkoohkanipiaohtsi Ward,203500,53.463969140466915,-113.53755902168045,POINT (-113.53755902168045 53.463969140466915),100,,,RESIDENTIAL,,
1302967,,9638,150 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,369500,53.53418785009836,-113.58027624091517,POINT (-113.58027624091517 53.53418785009836),100,,,RESIDENTIAL,,
1105865,,12465,153 STREET NW,N,4150,GAGNON ESTATE INDUSTRIAL,Anirniq Ward,5699500,53.57947028622488,-113.58243131317502,POINT (-113.58243131317502 53.57947028622488),100,,,COMMERCIAL,,
1194026,,8308,158 AVENUE NW,Y,2050,BELLE RIVE,tastawiyiniwak Ward,306000,53.61876576054375,-113.46851728377038,POINT (-113.46851728377038 53.61876576054375),100,,,RESIDENTIAL,,
1169267,,8019,169 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,318500,53.51509236799102,-113.6118438867525,POINT (-113.6118438867525 53.51509236799102),100,,,RESIDENTIAL,,
1237627,,16605,93 AVENUE NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,349500,53.52872473769708,-113.60917101627236,POINT (-113.60917101627236 53.52872473769708),100,,,RESIDENTIAL,,
